GENE	FREQ
ELMO1	1
IL22RA1	1
PJA2	1
DFFB	1
TGCT1	1
TM7SF2	1
FBXO9	1
SV2A	1
PHGDH	1
DHFR	1
NQO1	1
MNG2	1
SRF	1
DNASE1	1
MIR154	1
DNMT1	1
SHANK1	1
TBX22	1
HNRNPDL	1
DOK1	1
DPEP1	1
DPH1	1
DPYS	1
DR1	1
ITCH	1
SRA1	1
HARS	1
DSP	1
DSPP	1
DUSP1	1
DUSP4	1
HIST1H2BA	1
SLC17A4	1
TOR1A	1
E2F5	1
LHX6	1
LPAR1	1
TSPAN1	1
TOP3A	1
RAD50	1
HAT1	1
HIPK3	1
PLEK2	1
RASGRP1	1
PPBPP1	1
ADIPOR1	1
NAMPT	1
EFNB1	1
HMCN1	1
PTPRB	1
EGR2	1
OCIAD1	1
MRPS2	1
EIF2S1	1
PDZK1IP1	1
LPCAT3	1
LINC-PINT	1
EIF4B	1
EIF4G1	1
ELANE	1
B4GALNT2	1
ELF3	1
RASSF4	1
FLOT1	1
NAGPA	1
IMMP2L	1
ENPEP	1
TRIB1	1
ZNF443	1
EPAS1	1
EPHA1	1
EPHA3	1
EPHX1	1
SPRY1	1
NR2F6	1
ERCC2	1
CDK2AP2	1
ERCC4	1
ABI3	1
ERG	1
ETFA	1
DLEU1	1
ETS2	1
ZNF267	1
ETV5	1
IER5	1
EVX1	1
RASL12	1
TLR6	1
FBN3	1
F5	1
FAM13B	1
F9	1
ANKRD27	1
F13A1	1
FANCD2	1
TUBA1B	1
SNORD12C	1
RNU105C	1
